municipio,comarca,provincia,altitud,superficie,poblacion,densidad
A Arnoia,Comarca del Ribeiro,Provincia de Ourense,76,"20,69",1.000,"48,33"
A Baña,Barcala,Provincia de A Coruña,297,"98,19",3.450,"35,14"
A Bola,Comarca de Tierra de Celanova,Provincia de Ourense,510,"34,9",1.156,"33,12"
A Capela,Comarca del Eume,Provincia de A Coruña,,58,1.232,"21,24"
A Cañiza,Comarca de Paradanta,Provincia de Pontevedra,570,"105,04",5.180,"49,31"
A Coruña,Comarca de La Coruña,Provincia de A Coruña,21,"37,83",245.711,"6.495,14"
A Estrada,Comarca de Tabeirós - Tierra de Montes,Provincia de Pontevedra,281,"280,74",20.479,"72,95"
A Fonsagrada,Comarca de Fonsagrada,Provincia de Lugo,952,"438,42",3.465,"7,9"
A Guarda,Baixo Miño,Provincia de Pontevedra,0,"20,5",9.977,"486,68"
A Gudiña,Comarca de Viana,Provincia de Ourense,974,"171,42",1.254,"7,32"
A Illa de Arousa,Salnés,Provincia de Pontevedra,9,"6,91",4.926,"712,88"
A Lama,,Provincia de Pontevedra,478,"111,76",2.445,"21,88"
A Laracha,Bergantiños,Provincia de A Coruña,165,"125,95",11.347,"90,09"
A Merca,Comarca de Tierra de Celanova,Provincia de Ourense,482,"50,99",1.913,"37,52"
A Mezquita,,Provincia de Ourense,984,"104,27",1.023,"9,81"
A Pastoriza,Tierra Llana de Castro Rey,Provincia de Lugo,,"174,99",3.002,"17,16"
A Peroxa,Comarca de Orense,Provincia de Ourense,511,"54,52",1.819,"33,36"
A Pobra de Trives,Comarca de Tierra de Trives,Provincia de Ourense,746,"84,2",2.067,"24,55"
A Pobra do Brollón,Tierra de Lemos,Provincia de Lugo,385,"176,71",1.648,"9,33"
A Pobra do Caramiñal,Comarca del Barbanza,Provincia de A Coruña,0,"32,51",9.338,"287,23"
A Pontenova,Mariña Oriental,Provincia de Lugo,5,"135,8",2.264,"16,67"
A Rúa,Comarca de Valdeorras,Provincia de Ourense,317,"35,91",4.314,"120,13"
A Teixeira,Comarca de Tierra de Caldelas,Provincia de Ourense,593,"27,64",316,"11,43"
A Veiga,Comarca de Valdeorras,Provincia de Ourense,884,"290,49",889,"3,06"
Abadín,Tierra Llana (Lugo),Provincia de Lugo,500,"196,02",2.367,"12,08"
Abegondo,A Coruña,Provincia de A Coruña,700,"83,9",5.406,"64,43"
Agolada,Comarca del Deza,Provincia de Pontevedra,,"147,85",2.344,"15,85"
Alfoz,Mariña Central,Provincia de Lugo,763,"77,5",1.688,"21,78"
Allariz,Comarca de Allariz-Maceda,Provincia de Ourense,132,"85,96",6.188,"71,99"
Ames,Santiago de Compostela,Provincia de A Coruña,63,"80,1",31.793,"396,92"
Amoeiro,Comarca de Orense,Provincia de Ourense,396,"39,68",2.280,"57,46"
Antas de Ulla,Comarca de Ulloa,Provincia de Lugo,600,"103,6",1.976,"19,07"
Aranga,Comarca de Betanzos,Provincia de A Coruña,262,"119,59",1.849,"15,46"
Arbo,,Provincia de Pontevedra,257,"42,66",2.580,"60,48"
Ares,,Provincia de A Coruña,9,"18,31",5.732,"313,05"
Arteixo,Comarca de La Coruña,Provincia de A Coruña,11,"93,68",32.262,"344,39"
Arzúa,Comarca de Arzúa,Provincia de A Coruña,385,"155,48",6.041,"38,85"
As Neves,Comarca del Condado,Provincia de Pontevedra,630,"65,84",3.841,"58,34"
As Nogais,Candín,Provincia de Lugo,668,"110,34",1.079,"9,78"
As Pontes de García Rodríguez,Comarca del Eume,Provincia de A Coruña,340,"249,37",10.138,"40,65"
As Somozas,Comarca de Ferrol,Provincia de A Coruña,,"70,91",1.098,"15,48"
Avión,Comarca del Ribeiro,Provincia de Ourense,380,"121,13",1.795,"14,82"
Baiona,Comarca de Vigo,Provincia de Pontevedra,622,"34,47",12.122,"351,67"
Baleira,Comarca de Fonsagrada,Provincia de Lugo,1.049,"168,82",1.241,"7,35"
Baltar,,Provincia de Ourense,823,"93,99",962,"10,24"
Bande,Baixa Limia,Provincia de Ourense,728,"98,96",1.528,"15,44"
Baralla,Comarca de Los Ancares,Provincia de Lugo,500,"141,16",2.556,"18,11"
Barbadás,,Provincia de Ourense,206,"30,12",11.037,"366,43"
Barreiros,La Mariña Oriental,Provincia de Lugo,5,"72,42",2.934,"40,51"
Barro,,Provincia de Pontevedra,,"37,64",3.680,"97,77"
Baños de Molgas,Comarca de Allariz - Maceda,Provincia de Ourense,518,"67,64",1.519,"22,46"
Beade,Comarca del Ribeiro,Provincia de Ourense,158,"6,4",397,"62,03"
Beariz,Comarca de Carballino,Provincia de Ourense,610,"55,97",971,"17,35"
Becerreá,Comarca de Los Ancares (Lugo),Provincia de Lugo,668,"172,05",2.818,"16,38"
Begonte,Tierra Llana (Lugo),Provincia de Lugo,400,"126,8",3.026,"23,86"
Bergondo,,Provincia de A Coruña,68,"32,72",6.633,"202,72"
Betanzos,Comarca de Betanzos,Provincia de A Coruña,36,"24,21",12.959,"535,27"
Boborás,Comarca de Carballino,Provincia de Ourense,420,"87,82",2.285,"26,02"
Boimorto,Arzúa,Provincia de A Coruña,500,"82,34",1.985,"24,11"
Boiro,Comarca del Barbanza,Provincia de A Coruña,32,"86,58",18.838,"217,58"
Boqueixón,Santiago de Compostela,Provincia de A Coruña,289,"73,18",4.220,"57,67"
Brión,Santiago de Compostela,Provincia de A Coruña,289,"74,73",7.837,"104,87"
Bueu,Comarca de El Morrazo,Provincia de Pontevedra,239,"30,84",12.009,"389,4"
Burela,La Mariña Central,Provincia de Lugo,25,"7,78",9.588,"1.232,39"
Bóveda,Terra de Lemos,Provincia de Lugo,689,"91,11",1.481,"16,26"
Cabana de Bergantiños,Bergantiños,Provincia de A Coruña,375,"100,23",4.248,"42,38"
Cabanas,Eume,Provincia de A Coruña,,"30,3",3.281,"108,28"
Caldas de Reis,,Provincia de Pontevedra,24,"68,25",9.785,"143,37"
Calvos de Randín,Comarca de La Limia,Provincia de Ourense,893,"97,87",770,"7,87"
Camariñas,Comarca de Tierra de Soneira,Provincia de A Coruña,10,"51,6",5.272,"102,17"
Cambados,Salnés,Provincia de Pontevedra,0,"23,44",13.744,"586,35"
Cambre,Comarca de La Coruña,Provincia de A Coruña,52,"40,74",24.648,"605,01"
Campo Lameiro,Comarca de Pontevedra,Provincia de Pontevedra,,"63,77",1.817,"28,49"
Cangas,Comarca de El Morrazo,Provincia de Pontevedra,9,"38,08",26.542,"697,01"
Carballeda de Avia,Comarca del Ribeiro,Provincia de Ourense,249,"46,37",1.286,"27,73"
Carballeda de Valdeorras,Comarca de Valdeorras,Provincia de Ourense,600,"222,69",1.545,"6,94"
Carballedo,Chantada,Provincia de Lugo,800,"138,85",2.193,"15,79"
Cariño,Comarca de Ortegal,Provincia de A Coruña,613,"47,19",3.838,"81,33"
Carnota,Comarca de Muros,Provincia de A Coruña,700,"70,9",3.957,"55,81"
Carral,A Coruña,Provincia de A Coruña,130,"48,03",6.408,"133,42"
Cartelle,Comarca de Tierra de Celanova,Provincia de Ourense,360,"94,29",2.642,"28,02"
Castrelo de Miño,Comarca del Ribeiro,Provincia de Ourense,159,"39,74",1.349,"33,95"
Castrelo do Val,Comarca de Verín,Provincia de Ourense,419,"122,05",984,"8,06"
Castro Caldelas,Comarca de Tierra de Caldelas,Provincia de Ourense,763,"87,61",1.224,"13,97"
Castro de Rei,Tierra Llana (Lugo),Provincia de Lugo,444,"176,97",5.052,"28,55"
Castroverde,Lugo,Provincia de Lugo,700,"174,15",2.617,"15,03"
Catoira,Comarca de Caldas,Provincia de Pontevedra,67,"29,44",3.335,"113,28"
Cedeira,Comarca de Ferrol,Provincia de A Coruña,137,"85,42",6.640,"77,73"
Cee (A Coruña),Comarca de Finisterre,Provincia de A Coruña,,"57,45",7.546,"131,35"
Celanova,Comarca de Tierra de Celanova,Provincia de Ourense,530,"67,31",5.649,"83,93"
Cenlle,,Provincia de Ourense,117,"29,03",1.120,"38,58"
Cerdedo,,Provincia de Pontevedra,,80,,
Cerdedo-Cotobade,Comarca de Pontevedra,Provincia de Pontevedra,,"213,27",5.699,"26,72"
Cerdido,Comarca de Ortegal,Provincia de A Coruña,240,"52,72",1.113,"21,11"
Cervantes (Lugo),Los Ancares Lucenses,Provincia de Lugo,624,"277,63",1.338,"4,82"
Cervo,Mariña Occidental,Provincia de Lugo,465,"77,86",4.227,"54,29"
Chandrexa de Queixa,Comarca de Tierra de Trives,Provincia de Ourense,993,"171,81",456,"2,65"
Chantada,Comarca de Chantada,Provincia de Lugo,36,"176,73",8.192,"46,35"
Coirós,Betanzos,Provincia de A Coruña,389,"33,6",1.824,"54,29"
Coles,Comarca de Orense,Provincia de Ourense,386,"38,11",3.050,"80,03"
Corcubión,Comarca de Fisterra,Provincia de A Coruña,,"6,52",1.589,"243,71"
Coristanco,Bergantiños,Provincia de A Coruña,,"141,28",6.074,"42,99"
