ARNOIA, A	a arnoia
BALBOA	ELIMINAR
BAÑA, A	a baña
BLANCOS, OS	os blancos
BOLA, A	a bola
BOLO, O	o bolo
BOQUEIXÓN-CASANOVA	boqueixón
CAPELA, A	a capela
CAÑIZA, A	a cañiza
CESURAS	oza-cesuras
CORGO, O	o corgo
CORUÑA, A	a coruña
ENCINEDO	ELIMINAR
ESTRADA, A	a estrada
GROVE, O	o grove
GUARDA, A	a guarda
GUDIÑA, A	a gudiña
INCIO, O	o incio
IRIXO, O	o irixo
LAMA, A	a lama
LARACHA, A	a laracha
MERCA, A	a merca
NEVES, AS	as neves
NOGAIS, AS	as nogais
OTRA PROVINCIA	ELIMINAR
OZA DOS RÍOS	oza-cesuras
PEROXA, A	a peroxa
PINO, O	o pino
PORRIÑO, O	o porriño
PORTUGAL	ELIMINAR
PÁRAMO, O	o páramo
ROSAL, O	o rosal
RÚA, A	a rúa
SAVIÑAO, O	o saviñao
SOMOZAS, AS	as somozas
VEIGA, A	a veiga
VICEDO, O	o vicedo
