original	normalizado
ABADÍN	abadín
ABEGONDO	abegondo
AGOLADA	agolada
ALFOZ	alfoz
ALLARIZ	allariz
AMES	ames
AMOEIRO	amoeiro
ANTAS_DE_ULLA	antas de ulla
ARANGA	aranga
ARBO	arbo
ARES	ares
ARTEIXO	arteixo
ARZÚA	arzúa
AS_NEVES	as neves
AS_NOGAIS	as nogais
AS_PONTES_DE_GARCÍA_RODRÍGUEZ	as pontes de garcía rodríguez
AS_SOMOZAS	as somozas
AVIÓN	avión
A_ARNOIA	a arnoia
A_BAÑA	a baña
A_BOLA	a bola
A_CAPELA	a capela
A_CAÑIZA	a cañiza
A_CORUÑA	a coruña
A_ESTRADA	a estrada
A_FONSAGRADA	a fonsagrada
A_GUARDA	a guarda
A_GUDIÑA	a gudiña
A_ILLA_DE_AROUSA	a illa de arousa
A_LAMA	a lama
A_LARACHA	a laracha
A_MERCA	a merca
A_MEZQUITA	a mezquita
A_PASTORIZA	a pastoriza
A_PEROXA	a peroxa
A_POBRA_DE_TRIVES	a pobra de trives
A_POBRA_DO_BROLLÓN	a pobra do brollón
A_POBRA_DO_CARAMIÑAL	a pobra do caramiñal
A_PONTENOVA	a pontenova
A_RÚA	arzúa
A_TEIXEIRA	a teixeira
A_VEIGA	a veiga
BAIONA	baiona
BALEIRA	baleira
BALTAR	baltar
BANDE	bande
BARALLA	baralla
BARBADÁS	barbadás
BARREIROS	barreiros
BARRO	barro
BAÑOS_DE_MOLGAS	baños de molgas
BEADE	beade
BEARIZ	beariz
BECERREÁ	becerreá
BEGONTE	begonte
BERGONDO	bergondo
BETANZOS	betanzos
BOBORÁS	boborás
BOIMORTO	boimorto
BOIRO	boiro
BOQUEIXÓN	boqueixón
BRIÓN	brión
BUEU	bueu
BURELA	burela
BÓVEDA	bóveda
CABANAS	cabanas
CABANA_DE_BERGANTIÑOS	cabana de bergantiños
CALDAS_DE_REIS	caldas de reis
CALVOS_DE_RANDÍN	calvos de randín
CAMARIÑAS	camariñas
CAMBADOS	cambados
CAMBRE	cambre
CAMPO_LAMEIRO	campo lameiro
CANGAS	cangas
CARBALLEDA_DE_AVIA	carballeda de avia
CARBALLEDA_DE_VALDEORRAS	carballeda de valdeorras
CARBALLEDO	carballedo
CARIÑO	cariño
CARNOTA	carnota
CARRAL	carral
CARTELLE	cartelle
CASTRELO_DE_MIÑO	castrelo de miño
CASTRELO_DO_VAL	castrelo do val
CASTROVERDE	castroverde
CASTRO_CALDELAS	castro caldelas
CASTRO_DE_REI	castro de rei
CATOIRA	catoira
CEDEIRA	cedeira
CEE_(A_CORUÑA)	CEE_(A_CORUÑA)
CELANOVA	celanova
CENLLE	cenlle
CERDEDO	cerdedo
CERDEDO-COTOBADE	cerdedo-cotobade
CERDIDO	cerdido
CERVANTES_(LUGO)	CERVANTES_(LUGO)
CERVO	cervo
CHANDREXA_DE_QUEIXA	chandrexa de queixa
CHANTADA	chantada
COIRÓS	coirós
COLES	coles
CORCUBIÓN	corcubión
CORISTANCO	coristanco
CORTEGADA	cortegada
COSPEITO	cospeito
COTOBADE	cotobade
COVELO	covelo
CRECENTE	crecente
CUALEDRO	cualedro
CULLEREDO	culleredo
CUNTIS	cuntis
CURTIS	curtis
DODRO	dodro
DOZÓN	dozón
DUMBRÍA	dumbría
ENTRIMO	entrimo
ESGOS	esgos
FENE	fene
FERROL	ferrol
FISTERRA	fisterra
FOLGOSO_DO_COUREL	folgoso do courel
FORCAREI	forcarei
FORNELOS_DE_MONTES	fornelos de montes
FOZ	foz
FRADES	frades
FRIOL	friol
GOMESENDE	gomesende
GONDOMAR	gondomar
GUITIRIZ	guitiriz
GUNTÍN	guntín
IRIXOA	irixoa
LALÍN	lalín
LAROUCO	larouco
LAXE	laxe
LAZA	laza
LEIRO	leiro
LOBERA	lobera
LOBIOS	lobios
LOURENZÁ	lourenzá
LOUSAME	lousame
LUGO	lugo
LÁNCARA	láncara
MACEDA	maceda
MALPICA_DE_BERGANTIÑOS	malpica de bergantiños
MANZANEDA	manzaneda
MARÍN	marín
MASIDE	maside
MAZARICOS	mazaricos
MAÑÓN	mañón
MEAÑO	meaño
MEIRA	meira
MEIS	meis
